x y vx vy
6.37198e+006 0 -21.1054 0 
6.37198e+006 0 -21.2036 0 
6.37198e+006 0 -21.3017 0 
6.37198e+006 0 -21.3999 0 
6.37198e+006 0 -21.4981 0 
6.37198e+006 0 -21.5962 0 
6.37198e+006 0 -21.6944 0 
6.37198e+006 0 -21.7926 0 
6.37198e+006 0 -21.8907 0 
6.37198e+006 0 -21.9889 0 
6.37198e+006 0 -22.0871 0 
6.37197e+006 0 -22.1852 0 
6.37197e+006 0 -22.2834 0 
6.37197e+006 0 -22.3816 0 
6.37197e+006 0 -22.4797 0 
6.37197e+006 0 -22.5779 0 
6.37197e+006 0 -22.6761 0 
6.37197e+006 0 -22.7742 0 
6.37197e+006 0 -22.8724 0 
6.37197e+006 0 -22.9706 0 
6.37197e+006 0 -23.0687 0 
6.37197e+006 0 -23.1669 0 
6.37197e+006 0 -23.2651 0 
6.37197e+006 0 -23.3632 0 
6.37197e+006 0 -23.4614 0 
6.37197e+006 0 -23.5596 0 
6.37197e+006 0 -23.6577 0 
6.37197e+006 0 -23.7559 0 
6.37197e+006 0 -23.854 0 
6.37197e+006 0 -23.9522 0 
6.37197e+006 0 -24.0504 0 
6.37197e+006 0 -24.1485 0 
6.37197e+006 0 -24.2467 0 
6.37197e+006 0 -24.3449 0 
6.37197e+006 0 -24.443 0 
6.37197e+006 0 -24.5412 0 
6.37197e+006 0 -24.6394 0 
6.37197e+006 0 -24.7375 0 
6.37197e+006 0 -24.8357 0 
6.37197e+006 0 -24.9339 0 
6.37197e+006 0 -25.032 0 
6.37197e+006 0 -25.1302 0 
6.37197e+006 0 -25.2284 0 
6.37197e+006 0 -25.3265 0 
6.37197e+006 0 -25.4247 0 
6.37197e+006 0 -25.5229 0 
6.37197e+006 0 -25.621 0 
6.37197e+006 0 -25.7192 0 
6.37197e+006 0 -25.8174 0 
6.37197e+006 0 -25.9155 0 
6.37197e+006 0 -26.0137 0 
6.37197e+006 0 -26.1119 0 
6.37197e+006 0 -26.21 0 
6.37196e+006 0 -26.3082 0 
6.37196e+006 0 -26.4063 0 
6.37196e+006 0 -26.5045 0 
6.37196e+006 0 -26.6027 0 
6.37196e+006 0 -26.7008 0 
6.37196e+006 0 -26.799 0 
6.37196e+006 0 -26.8972 0 
6.37196e+006 0 -26.9953 0 
6.37196e+006 0 -27.0935 0 
6.37196e+006 0 -27.1917 0 
6.37196e+006 0 -27.2898 0 
6.37196e+006 0 -27.388 0 
6.37196e+006 0 -27.4862 0 
6.37196e+006 0 -27.5843 0 
6.37196e+006 0 -27.6825 0 
6.37196e+006 0 -27.7807 0 
6.37196e+006 0 -27.8788 0 
6.37196e+006 0 -27.977 0 
6.37196e+006 0 -28.0752 0 
6.37196e+006 0 -28.1733 0 
6.37196e+006 0 -28.2715 0 
6.37196e+006 0 -28.3697 0 
6.37196e+006 0 -28.4678 0 
6.37196e+006 0 -28.566 0 
6.37196e+006 0 -28.6642 0 
6.37196e+006 0 -28.7623 0 
6.37196e+006 0 -28.8605 0 
6.37196e+006 0 -28.9587 0 
6.37196e+006 0 -29.0568 0 
6.37196e+006 0 -29.155 0 
6.37196e+006 0 -29.2532 0 
6.37196e+006 0 -29.3513 0 
6.37196e+006 0 -29.4495 0 
6.37196e+006 0 -29.5477 0 
6.37196e+006 0 -29.6458 0 
6.37195e+006 0 -29.744 0 
6.37195e+006 0 -29.8422 0 
6.37195e+006 0 -29.9403 0 
6.37195e+006 0 -30.0385 0 
6.37195e+006 0 -30.1366 0 
6.37195e+006 0 -30.2348 0 
6.37195e+006 0 -30.333 0 
6.37195e+006 0 -30.4311 0 
6.37195e+006 0 -30.5293 0 
6.37195e+006 0 -30.6275 0 
6.37195e+006 0 -30.7256 0 
